Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
14547.60093075037,109,11,68
14567.584155619144,95,9,68
14587.567380487919,99,12,58
14607.550605356693,116,12,61
14627.533830225468,94,11,37
14647.517055094242,118,9,62
14667.500279963017,100,12,62
14687.483504831791,96,13,42
14707.466729700565,93,19,64
14727.44995456934,98,12,40
14747.433179438114,81,21,30
14767.416404306889,87,9,36
14787.399629175663,89,13,30
14807.382854044437,91,10,25
14827.366078913212,78,9,22
14847.349303781986,64,23,18
14867.33252865076,86,4,25
14887.315753519535,83,10,11
14907.29897838831,66,13,11
14927.282203257084,88,8,12
14947.265428125858,81,9,14
14967.248652994633,69,9,18
14987.231877863407,75,6,13
15007.215102732182,88,10,7
15027.198327600956,70,11,20
